Date,Creative,"Creative ID","Total Ads Requested"
2025-12-29,C7STB7X-4870303-WDW_FY25_ENG_BaboonZootopiaDigitalBannersCFLStaticFLRESNOOFF_728x90,5682754,24396
2025-12-29,C8LLH5D-4983150-WDW_FY25_ENG_HolidaysACTIVATEFLRESNOOFF_160x600,5625002,33469
2025-12-29,C8LLH5D-4983150-WDW_FY25_ENG_HolidaysACTIVATEFLRESNOOFF_300x250,5625003,271124
2025-12-29,C8LLH5D-4983150-WDW_FY25_ENG_HolidaysACTIVATEFLRESNOOFF_300x600,5625004,32330
2025-12-29,C8LLH5D-4983150-WDW_FY25_ENG_HolidaysACTIVATEFLRESNOOFF_320x50,5611414,141127
2025-12-29,C8LLH5D-4983150-WDW_FY25_ENG_HolidaysACTIVATEFLRESNOOFF_728x90,5625005,74037
2025-12-29,C8WQG8C-3755702-DLR_FY24_ENG_PremExpVIPBanners_160x600,4578230,1290
2025-12-29,C8WQG8C-3755702-DLR_FY24_ENG_PremExpVIPBanners_300x250,4578231,9299
2025-12-29,C8WQG8C-3755702-DLR_FY24_ENG_PremExpVIPBanners_300x600,4578233,342
2025-12-29,C8WQG8C-3755702-DLR_FY24_ENG_PremExpVIPBanners_728x90,4578227,3594
2025-12-29,C8WQG8C-3755702-DLR_FY24_ENG_PremExpVIPBannersv2_320x50,4569742,4361
2025-12-29,C9889HP-4987600-WDW_FY26_ENG_DiningEECEvergreenV2STATICDOMNOOFF_160x600,5680271,5511
2025-12-29,C9889HP-4987600-WDW_FY26_ENG_DiningEECEvergreenV2STATICDOMNOOFF_300x250,5680272,33876
2025-12-29,C9889HP-4987600-WDW_FY26_ENG_DiningEECEvergreenV2STATICDOMNOOFF_300x600,5680273,1718
2025-12-29,C9889HP-4987600-WDW_FY26_ENG_DiningEECEvergreenV2STATICDOMNOOFF_320x50,5609542,22050
2025-12-29,C9889HP-4987600-WDW_FY26_ENG_DiningEECEvergreenV2STATICDOMNOOFF_728x90,5680274,9084
2025-12-29,C9E2JIJ-4451355-DCL_FY25_ENG_SFEDOMNOOFF_160x600,5346526,20835
2025-12-29,C9E2JIJ-4451355-DCL_FY25_ENG_SFEDOMNOOFF_300x250,5346527,266733
2025-12-29,C9E2JIJ-4451355-DCL_FY25_ENG_SFEDOMNOOFF_300x600,5346528,20482
2025-12-29,C9E2JIJ-4451355-DCL_FY25_ENG_SFEDOMNOOFF_320x50,5280023,186913
2025-12-29,C9E2JIJ-4451355-DCL_FY25_ENG_SFEDOMNOOFF_728x90,5346529,80654
2025-12-29,C9YUMVW-4881000-WDW_FY26_ENG_ClickCANENGStaticCANNOOFFCNE_160x600,5723525,15066
2025-12-29,C9YUMVW-4881000-WDW_FY26_ENG_ClickCANENGStaticCANNOOFFCNE_300x250,5723526,188637
2025-12-29,C9YUMVW-4881000-WDW_FY26_ENG_ClickCANENGStaticCANNOOFFCNE_300x600,5723527,27833
2025-12-29,C9YUMVW-4881000-WDW_FY26_ENG_ClickCANENGStaticCANNOOFFCNE_320x50,5648687,161265
2025-12-29,C9YUMVW-4881000-WDW_FY26_ENG_ClickCANENGStaticCANNOOFFCNE_728x90,5723528,52238
2025-12-29,C9Z301G-4987600-WDW_FY26_ENG_DiningEECEvergreenV1STATICDOMNOOFF_160x600,5680265,6348
2025-12-29,C9Z301G-4987600-WDW_FY26_ENG_DiningEECEvergreenV1STATICDOMNOOFF_300x250,5680266,42529
2025-12-29,C9Z301G-4987600-WDW_FY26_ENG_DiningEECEvergreenV1STATICDOMNOOFF_300x600,5680267,1364
2025-12-29,C9Z301G-4987600-WDW_FY26_ENG_DiningEECEvergreenV1STATICDOMNOOFF_320x50,5609541,31906
2025-12-29,C9Z301G-4987600-WDW_FY26_ENG_DiningEECEvergreenV1STATICDOMNOOFF_728x90,5680268,12604
2025-12-29,CA7IZ50-4779950-WDW_FY26_ENG_FreeDineMobileStaticDOMNOOFF_160x600,5595645,57879
2025-12-29,CA7IZ50-4779950-WDW_FY26_ENG_FreeDineMobileStaticDOMNOOFF_300x250,5595647,632168
2025-12-29,CA7IZ50-4779950-WDW_FY26_ENG_FreeDineMobileStaticDOMNOOFF_300x600,5595648,62601
2025-12-29,CA7IZ50-4779950-WDW_FY26_ENG_FreeDineMobileStaticDOMNOOFF_320x50,5544750,475123
2025-12-29,CA7IZ50-4779950-WDW_FY26_ENG_FreeDineMobileStaticDOMNOOFF_728x90,5595649,205908
2025-12-29,CAIX1S6-4598854-ABD_FY25_ENG_Q4LastChanceOffer_160x600,5491632,5904
2025-12-29,CAIX1S6-4598854-ABD_FY25_ENG_Q4LastChanceOffer_300x250,5491633,121929
2025-12-29,CAIX1S6-4598854-ABD_FY25_ENG_Q4LastChanceOffer_300x600,5491634,25042
2025-12-29,CAIX1S6-4598854-ABD_FY25_ENG_Q4LastChanceOffer_320x50,5472016,62206
2025-12-29,CAIX1S6-4598854-ABD_FY25_ENG_Q4LastChanceOffer_728x90,5491635,24240
2025-12-29,CAS0VKI-4870303-WDW_FY25_SPN_BaboonZootopiaDigitalBannersFLResStaticFLRESNOOFF_160x600,5682759,346
2025-12-29,CAS0VKI-4870303-WDW_FY25_SPN_BaboonZootopiaDigitalBannersFLResStaticFLRESNOOFF_300x250,5682760,3595
2025-12-29,CAS0VKI-4870303-WDW_FY25_SPN_BaboonZootopiaDigitalBannersFLResStaticFLRESNOOFF_300x600,5682761,348
2025-12-29,CAS0VKI-4870303-WDW_FY25_SPN_BaboonZootopiaDigitalBannersFLResStaticFLRESNOOFF_320x50,5665951,2484
2025-12-29,CAS0VKI-4870303-WDW_FY25_SPN_BaboonZootopiaDigitalBannersFLResStaticFLRESNOOFF_728x90,5682762,827
2025-12-29,CASYV0K-3831852-WDW-FY24_SPN_ClickLATAM4ParkMagicTicket_300x250.zip,4927982,115545
2025-12-29,CASYV0K-3831852-WDW-FY24_SPN_ClickLATAM4ParkMagicTicket_300x600.zip,4927984,12931
2025-12-29,CASYV0K-3831852-WDW-FY24_SPN_ClickLATAM4ParkMagicTicket_320x50.jpg,4846884,33429
2025-12-29,CASYV0K-3831852-WDW-FY24_SPN_ClickLATAM4ParkMagicTicket_728x90.zip,4927985,42224
2025-12-29,CAXQJPZ-5140350-DCL_FY25_ENG_50OFFTRANSACTDOMNOOFF_160x600,5717648,4472
2025-12-29,CAXQJPZ-5140350-DCL_FY25_ENG_50OFFTRANSACTDOMNOOFF_300x250,5717649,36321
2025-12-29,CAXQJPZ-5140350-DCL_FY25_ENG_50OFFTRANSACTDOMNOOFF_300x600,5717650,8695
2025-12-29,CAXQJPZ-5140350-DCL_FY25_ENG_50OFFTRANSACTDOMNOOFF_728x90,5717651,19628
2025-12-29,CBB4IV9-4265800-DCL_FY25_ENG_ISLANDDESTINATIONSFLRESDOMNOOFF_160x600,5346479,1686
2025-12-29,CBB4IV9-4265800-DCL_FY25_ENG_ISLANDDESTINATIONSFLRESDOMNOOFF_300x250,5346480,17681
2025-12-29,CBB4IV9-4265800-DCL_FY25_ENG_ISLANDDESTINATIONSFLRESDOMNOOFF_300x600,5346481,1335
2025-12-29,CBB4IV9-4265800-DCL_FY25_ENG_ISLANDDESTINATIONSFLRESDOMNOOFF_320x50,5341685,15297
2025-12-29,CBB4IV9-4265800-DCL_FY25_ENG_ISLANDDESTINATIONSFLRESDOMNOOFF_728x90,5346482,5673
2025-12-29,CBO36IT-5078851-DLR_FY26_ENG_70thCelebrationPhase4_160x600,5812678,75694
2025-12-29,CBO36IT-5078851-DLR_FY26_ENG_70thCelebrationPhase4_300x250,5812679,1931816
2025-12-29,CBO36IT-5078851-DLR_FY26_ENG_70thCelebrationPhase4_300x600,5812681,148979
